city,date,max_temp,min_temp,avg_temp,humidity,precipitation,year
Delhi,2014-01-01,28.2,9.8,19.0,61.5,28.7,2014
Mumbai,2014-01-01,39.9,15.4,27.6,72.6,28.7,2014
Bangalore,2014-01-01,31.0,8.2,19.6,44.8,16.5,2014
Chennai,2014-01-01,26.8,10.1,18.4,44.7,22.5,2014
Kolkata,2014-01-01,36.8,16.5,26.6,64.2,15.6,2014
Hyderabad,2014-01-01,41.5,7.2,24.4,95.3,14.9,2014
Pune,2014-01-01,27.0,19.5,23.3,86.2,4.3,2014
Ahmedabad,2014-01-01,28.2,11.9,20.0,67.5,14.3,2014
Delhi,2014-01-02,30.3,11.0,20.6,44.7,36.6,2014
Mumbai,2014-01-02,25.3,5.1,15.2,70.0,27.5,2014
Bangalore,2014-01-02,31.5,14.2,22.9,76.8,23.4,2014
Chennai,2014-01-02,34.6,7.4,21.0,76.5,4.3,2014
Kolkata,2014-01-02,26.2,16.9,21.5,65.9,21.8,2014
Hyderabad,2014-01-02,28.0,20.3,24.1,71.5,13.7,2014
Pune,2014-01-02,32.7,7.5,20.1,58.9,4.8,2014
Ahmedabad,2014-01-02,41.5,12.5,27.0,99.9,45.8,2014
Delhi,2014-01-03,26.9,19.4,23.2,55.8,48.4,2014
Mumbai,2014-01-03,27.3,21.1,24.2,84.3,26.8,2014
Bangalore,2014-01-03,44.6,25.0,34.8,44.7,35.2,2014
Chennai,2014-01-03,35.7,19.4,27.6,57.3,10.3,2014
Kolkata,2014-01-03,39.8,7.0,23.4,72.8,4.2,2014
Hyderabad,2014-01-03,34.6,8.3,21.4,68.6,27.0,2014
Pune,2014-01-03,44.1,24.7,34.4,71.5,49.6,2014
Ahmedabad,2014-01-03,43.8,15.0,29.4,98.9,7.3,2014
Delhi,2014-01-04,29.3,23.8,26.6,91.8,45.3,2014
Mumbai,2014-01-04,29.3,8.4,18.8,89.9,15.9,2014
Bangalore,2014-01-04,34.4,19.7,27.1,80.2,6.8,2014
